x,y_lower,y,y_upper,label,cat,color
2010,0.187600,0.378300,0.513700,Solar PV,0,#f9c74f
2011,0.161600,0.286300,0.483900,Solar PV,0,#f9c74f
2012,0.133100,0.222500,0.402700,Solar PV,0,#f9c74f
2013,0.119700,0.175100,0.366400,Solar PV,0,#f9c74f
2014,0.096900,0.163600,0.367400,Solar PV,0,#f9c74f
2015,0.077800,0.126400,0.289600,Solar PV,0,#f9c74f
2016,0.074700,0.113900,0.266200,Solar PV,0,#f9c74f
2017,0.056100,0.092400,0.228000,Solar PV,0,#f9c74f
2018,0.051800,0.078700,0.214700,Solar PV,0,#f9c74f
2019,0.052100,0.068400,0.189500,Solar PV,0,#f9c74f
2010,0.059000,0.086000,0.117000,Onshore wind power,1,#999d9a
2011,0.058000,0.083000,0.125000,Onshore wind power,1,#999d9a
2012,0.058000,0.083000,0.111000,Onshore wind power,1,#999d9a
2013,0.057000,0.082000,0.117000,Onshore wind power,1,#999d9a
2014,0.059000,0.076000,0.122000,Onshore wind power,1,#999d9a
2015,0.048000,0.069000,0.126000,Onshore wind power,1,#999d9a
2016,0.047000,0.066000,0.112000,Onshore wind power,1,#999d9a
2017,0.045000,0.064000,0.115000,Onshore wind power,1,#999d9a
2018,0.041000,0.058000,0.100000,Onshore wind power,1,#999d9a
2019,0.038000,0.053000,0.107000,Onshore wind power,1,#999d9a
2010,0.114000,0.161000,0.204000,Offshore wind power,2,#577590
2011,0.114000,0.175000,0.222000,Offshore wind power,2,#577590
2012,0.115000,0.154000,0.209000,Offshore wind power,2,#577590
2013,0.100000,0.177000,0.277000,Offshore wind power,2,#577590
2014,0.137000,0.183000,0.214000,Offshore wind power,2,#577590
2015,0.125000,0.169000,0.227000,Offshore wind power,2,#577590
2016,0.101000,0.146000,0.173000,Offshore wind power,2,#577590
2017,0.108000,0.131000,0.183000,Offshore wind power,2,#577590
2018,0.102000,0.127000,0.202000,Offshore wind power,2,#577590
2019,0.088000,0.115000,0.157000,Offshore wind power,2,#577590
2010,0.276000,0.346000,0.390000,Concentrated solar power,3,#f8961e
2011,0.252000,0.348000,0.477000,Concentrated solar power,3,#f8961e
2012,0.234000,0.353000,0.464000,Concentrated solar power,3,#f8961e
2013,0.194000,0.268000,0.361000,Concentrated solar power,3,#f8961e
2014,0.152000,0.243000,0.293000,Concentrated solar power,3,#f8961e
2015,0.191000,0.251000,0.323000,Concentrated solar power,3,#f8961e
2016,0.236000,0.290000,0.350000,Concentrated solar power,3,#f8961e
2017,0.175000,0.253000,0.289000,Concentrated solar power,3,#f8961e
2018,0.106000,0.184000,0.268000,Concentrated solar power,3,#f8961e
2019,0.144000,0.182000,0.431000,Concentrated solar power,3,#f8961e
2010,0.019924,0.037103,0.082867,Hydropower,4,#277da1
2011,0.020681,0.035594,0.070045,Hydropower,4,#277da1
2012,0.022385,0.037753,0.082578,Hydropower,4,#277da1
2013,0.022808,0.042926,0.092172,Hydropower,4,#277da1
2014,0.023742,0.043932,0.116851,Hydropower,4,#277da1
2015,0.026656,0.039014,0.112654,Hydropower,4,#277da1
2016,0.030663,0.052220,0.156839,Hydropower,4,#277da1
2017,0.031071,0.055025,0.187363,Hydropower,4,#277da1
2018,0.030790,0.044514,0.109787,Hydropower,4,#277da1
2019,0.029847,0.047287,0.113453,Hydropower,4,#277da1
2010,0.039643,0.075597,0.138398,Bioenergy power,5,#90be6d
2011,0.035264,0.055425,0.149928,Bioenergy power,5,#90be6d
2012,0.038344,0.060869,0.132874,Bioenergy power,5,#90be6d
2013,0.045953,0.081262,0.174006,Bioenergy power,5,#90be6d
2014,0.046944,0.082069,0.313329,Bioenergy power,5,#90be6d
2015,0.039043,0.073028,0.359140,Bioenergy power,5,#90be6d
2016,0.055890,0.071932,0.241250,Bioenergy power,5,#90be6d
2017,0.055542,0.072432,0.201920,Bioenergy power,5,#90be6d
2018,0.048791,0.056632,0.285895,Bioenergy power,5,#90be6d
2019,0.054951,0.065647,0.239355,Bioenergy power,5,#90be6d
2010,0.036584,0.048786,0.074247,Geothermal power,6,#f3722c
2011,0.046023,0.066661,0.117010,Geothermal power,6,#f3722c
2012,0.055461,0.084536,0.159772,Geothermal power,6,#f3722c
2013,0.039582,0.064141,0.169967,Geothermal power,6,#f3722c
2014,0.044850,0.065979,0.222496,Geothermal power,6,#f3722c
2015,0.047485,0.060107,0.107812,Geothermal power,6,#f3722c
2016,0.053988,0.069951,0.118274,Geothermal power,6,#f3722c
2017,0.040207,0.074109,0.133734,Geothermal power,6,#f3722c
2018,0.058604,0.071553,0.160886,Geothermal power,6,#f3722c
2019,0.048280,0.073240,0.137983,Geothermal power,6,#f3722c
